Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Alex,GOOGEAR0010000000000000021919795,Google Chromecast V3 Streaming Stick,2021-04-29T04:25:07.655Z,2021-05-01T08:11:45.129Z,2021-04-29T04:25:07.655Z,2021-05-01T08:11:45.129Z,2021-04-29T04:25:07.655Z,2021-05-01T08:11:45.129Z,2021-04-29T04:25:07.655Z,2021-05-01T08:11:45.129Z,
School for Miss Cruz,NFAPPL-01-IPAD4=2-DE4126F171ACB5D089ACFA06509D88809E69D64D56E3B4A0198D594D93FEBB66,iPad Air Cellular,2019-07-29T08:39:38.573Z,2021-09-25T18:44:28.718Z,2019-10-15T07:26:05.688Z,2021-09-25T18:44:28.718Z,,,,,
Alex,NFCDCH-02-FZQGFH54CF5YWAMEJL28HHQ41XDR6H,Chrome PC (Cadmium),2019-12-19T20:21:10.270Z,2021-08-04T04:48:12.661Z,2019-12-19T20:21:10.270Z,2021-08-04T04:28:05.652Z,2021-04-26T21:47:06.737Z,2021-04-26T23:10:52.750Z,2021-04-26T21:47:23.026Z,2021-04-26T23:10:52.750Z,
Wilhelmus,NFCDCH-01-FFLW2CT4M85Y4E0CF2551MTFJMMJ1C,Chrome OS (Cadmium),2019-11-15T20:52:16.413Z,2021-04-26T07:07:38.950Z,2019-11-15T20:52:16.413Z,2021-04-25T07:02:18.304Z,2019-11-15T20:52:16.413Z,2021-04-26T07:07:38.950Z,2019-11-15T20:52:16.413Z,2021-04-25T07:02:18.304Z,
Wilhelmus,NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,2019-10-02T07:31:10.885Z,2021-10-01T08:53:48.420Z,2019-10-02T07:31:10.885Z,2021-10-01T08:53:48.420Z,2020-02-02T05:27:58.264Z,2021-02-24T06:46:23.844Z,2020-02-02T05:27:58.264Z,2021-02-24T06:46:23.844Z,
Wilhelmus,NFCDCH-AP-GZ30Y2TT814R3NEDTUWUAJJ18QT5LE,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
School for Miss Cruz,NFCDCH-02-FZQGFH54CF5YWAMEJL28HHQ41XDR6H,Chrome PC (Cadmium),2019-12-19T20:21:10.270Z,2021-08-04T04:48:12.661Z,2019-12-19T20:21:10.270Z,2021-08-04T04:28:05.652Z,2019-12-19T20:21:10.270Z,2020-12-17T23:23:50.194Z,2019-12-19T20:21:10.270Z,2020-12-17T23:23:50.194Z,
School for Miss Cruz,NFCDCH-02-FUFW4JH1XV3F1PEYC8U201T1LKDUAN,Chrome PC (Cadmium),2021-01-24T21:34:53.052Z,2021-06-30T04:34:42.148Z,2021-01-24T21:34:53.052Z,2021-06-30T04:34:42.148Z,,,,,
Wilhelmus,NFCDCH-01-GPDU57H2XL7A2NC43E9EQH8U3AQ490,Chrome OS (Cadmium),,,,,,,,,
School for Miss Cruz,NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,2019-10-02T07:31:10.885Z,2021-10-01T08:53:48.420Z,2019-10-02T07:31:10.885Z,2021-10-01T08:53:48.420Z,2019-12-30T01:54:15.567Z,2019-12-30T02:23:45.551Z,2019-12-30T01:54:15.567Z,2019-12-30T02:23:45.551Z,
