Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Alex,DreamWorks Shrek the Halls,Apple TV 3,2016-12-25 06:30:23,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":6187,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1317214,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1317215,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1318187,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 1: ""African Queen / Mega Snails""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-18 17:43:41,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":4043,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":82028,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 1: ""African Queen / Mega Snails""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-18 17:11:11,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":7514,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":759514,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":761991,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":762673,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":956836,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1263836,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1466950,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1624947,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 1: ""African Queen / Mega Snails""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-18 05:59:04,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":7483,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":164965,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1065956,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 1: ""Bumperdome / Broaches""",Apple TV 3,2016-12-18 05:21:47,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":2935,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1357935,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1379877,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 1: ""Dungball Derby / Ace of Race""",Apple TV 3,2016-12-18 04:58:48,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":2819,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1374819,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1376819,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 1: ""Crazy Fast""",Apple TV 3,2016-12-18 04:35:49,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":17861,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1371861,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1391861,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 3: ""Best Frenemies / The Jamaican Jerk Chickens""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-18 03:03:21,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":5416,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":278416,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":278417,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":280416,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 3: ""Dial M for Mystery / Turbo Real""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-18 01:13:41,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":4614,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":236614,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":279585,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":284889,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":319875,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":327875,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":358002,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":625443,""mediaOffsetMs"":null},{""eventType"":""reposition"",""sessionOffsetMs"":636226,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":636740,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1420229,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1423963,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1493709,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1519716,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1521758,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1521759,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1524736,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 3: ""Dial M for Mystery / Turbo Real""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-18 00:14:16,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":8370,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":9370,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":14978,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1100164,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1554759,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1803821,""mediaOffsetMs"":null}]"
