Esn,Country,Region Code,Device Description,Ip,Ts
NFCDCH-AP-GZ30Y2TT814R3NEDTUWUAJJ18QT5LE,NZ,AUK,A5010,222.152.169.31,2021-02-20 05:44:51
NFCDIE-03-HG1FETYD0XCMTNR5XY4ARM6KW65DT9,NZ,AUK,Edge - Windows,222.152.188.116,2021-07-15 22:42:05
